#{"t_start": 1761569056.2933235, "env_id": "Pendulum-v1"}
r,l,t
-1166.826423,200,58.749793
-1017.243057,200,59.026492
-1061.055034,200,59.33615
-1225.893979,200,59.60357
-1236.99562,200,59.831344
-121.179979,200,112.534535
-121.970125,200,112.662941
-227.492076,200,112.800635
-262.57893,200,112.930885
-124.386266,200,113.07081
-239.98185,200,163.338127
-123.923631,200,163.539199
-124.048517,200,163.728339
-118.033566,200,163.902916
-238.911398,200,164.097706
-118.383195,200,211.516566
-122.106831,200,211.65458
-119.435792,200,211.783845
-122.219196,200,211.927735
-117.90478,200,212.068785
-231.461557,200,259.295669
-115.874459,200,259.480338
-344.026947,200,259.648097
-119.947643,200,259.827064
-124.934511,200,260.051974
-273.212682,200,307.705848
-117.567895,200,307.844019
-236.552321,200,307.975629
-232.056894,200,308.103343
-1.472279,200,308.233494
-242.047596,200,355.252752
-117.010797,200,355.430568
-243.257863,200,355.628605
-121.157741,200,355.824271
-114.657429,200,356.016594
-127.369436,200,403.646788
-120.463803,200,403.77652
-118.350658,200,403.920318
-125.750634,200,404.048042
-2.718543,200,404.178635
-123.661049,200,451.502377
-130.639717,200,451.724031
-240.029168,200,451.914834
-122.934824,200,452.10425
-2.938488,200,452.270624
-251.816069,200,499.68332
-241.23521,200,499.810019
-121.762387,200,499.939363
-126.711438,200,500.087181
-240.326127,200,500.222631
-118.682436,200,546.588302
-119.924373,200,546.71736
-122.003882,200,546.851753
-1.627286,200,546.987303
-239.118848,200,547.114619
-1.289882,200,594.952171
-122.721009,200,595.087054
-115.862018,200,595.232747
-2.753673,200,595.357841
-128.794361,200,595.487143
-115.119789,200,642.637989
-2.134424,200,642.763715
-1.94437,200,642.892781
-337.238048,200,643.041337
-235.399953,200,643.170002
-1.359633,200,691.654158
-120.169609,200,691.79484
-125.284404,200,691.946338
-118.390849,200,692.085782
-249.194427,200,692.214907
-245.057686,200,739.083568
-126.130328,200,739.214797
-121.525457,200,739.346417
-125.635591,200,739.473879
-1.137376,200,739.598934
-246.3191,200,787.512206
-234.915266,200,787.647256
-2.882941,200,787.77244
-230.376875,200,787.907304
-121.477305,200,788.036109
-125.368532,200,836.207703
-2.236602,200,836.334105
-118.763792,200,836.471504
-235.116507,200,836.60708
-118.857364,200,836.734962
-123.786412,200,885.792007
-123.315624,200,885.933154
-333.111715,200,886.067067
-124.976178,200,886.194482
-123.782948,200,886.330178
-116.956947,200,933.403684
-119.854648,200,933.538976
-114.398479,200,933.669613
-125.02914,200,933.82777
-335.319687,200,933.960704
-250.678782,200,984.519238
-118.240999,200,984.650805
-126.090249,200,984.7906
-126.015682,200,984.925279
-1.55211,200,985.056021
-125.708496,200,1031.90637
-125.501276,200,1032.055549
-3.950896,200,1032.265626
-122.735581,200,1032.445814
-2.661841,200,1032.642679
-1.316268,200,1081.262271
-126.622207,200,1081.390688
-117.516343,200,1081.520539
-245.683271,200,1081.659023
-2.40274,200,1081.785968
-236.939616,200,1128.867666
-127.7665,200,1129.006824
-127.540388,200,1129.137856
-124.188099,200,1129.279971
-126.907523,200,1129.501402
-125.183588,200,1179.392732
-1.939889,200,1179.522504
-117.809736,200,1179.653315
-1.916839,200,1179.782793
-2.032431,200,1179.92383
-126.084324,200,1227.660985
-121.477099,200,1227.864338
-117.166365,200,1228.055765
-120.35894,200,1228.234119
-243.068253,200,1228.412345
-122.308721,200,1277.937034
-125.733641,200,1278.071101
